               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  80,              1.7936,              2.1526,               1.606,             0.51823,             0.56597,             0.53857,             0.38153,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.7289,              2.1022,              1.6129,              0.5168,             0.56859,             0.53502,             0.37704,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.7368,              2.1288,              1.6101,             0.52479,             0.55957,             0.53129,             0.37085,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.7267,              2.0557,              1.5931,             0.47359,             0.60483,             0.54287,             0.38426,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.7777,              2.1296,               1.633,             0.52579,             0.59417,             0.55114,             0.38713,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.7323,              2.0301,              1.5785,             0.50392,             0.59575,             0.54021,             0.38236,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.7179,              2.0796,              1.5957,             0.49436,             0.59721,             0.54423,             0.38588,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.7293,              2.0843,              1.5971,             0.51215,             0.58182,              0.5361,             0.37924,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.7213,              2.0621,              1.5884,             0.56525,             0.53245,             0.55056,             0.39098,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.7287,              2.1315,              1.5949,             0.53207,             0.55584,             0.54144,             0.38583,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.7038,              2.0195,              1.5826,             0.50734,             0.58746,             0.54813,             0.38803,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.6841,              2.0161,              1.5821,             0.51649,             0.59213,             0.55513,             0.39195,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.7103,                2.05,              1.5793,             0.45716,              0.6496,             0.55558,              0.3924,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.7327,              2.0422,              1.5819,             0.49359,             0.60027,             0.54997,             0.38892,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.6908,              1.9753,              1.5634,             0.49227,             0.61404,             0.56206,             0.39837,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.6902,              2.0085,              1.5727,              0.4917,             0.60925,             0.55604,             0.39614,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.6907,              2.0503,              1.5764,             0.54872,             0.56822,             0.56261,             0.39797,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.6784,              1.9717,              1.5706,             0.54697,             0.55486,             0.55766,             0.39564,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.6899,              1.9946,              1.5691,             0.50472,             0.61486,             0.56204,             0.40131,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.6968,              2.0185,              1.5666,             0.51166,             0.59519,             0.55893,              0.3999,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
